Name                                                                   Stmts   Miss  Cover
------------------------------------------------------------------------------------------
aegis_sdk/__init__.py                                                      4      0   100%
aegis_sdk/application/__init__.py                                          3      0   100%
aegis_sdk/application/dependency_provider.py                              43      0   100%
aegis_sdk/application/failover_monitoring_use_case.py                    141      1    99%
aegis_sdk/application/metrics.py                                          67      0   100%
aegis_sdk/application/service.py                                         413     27    93%
aegis_sdk/application/single_active_dtos.py                               59      2    97%
aegis_sdk/application/single_active_service.py                           151     20    87%
aegis_sdk/application/sticky_active_use_cases.py                         242     33    86%
aegis_sdk/application/use_cases.py                                       192     20    90%
aegis_sdk/developer/__init__.py                                            6      0   100%
aegis_sdk/developer/bootstrap.py                                          19     10    47%
aegis_sdk/developer/config_helper.py                                      63      1    98%
aegis_sdk/developer/environment.py                                        46      0   100%
aegis_sdk/developer/k8s_discovery.py                                      90     72    20%
aegis_sdk/domain/__init__.py                                               6      0   100%
aegis_sdk/domain/aggregates.py                                           206     13    94%
aegis_sdk/domain/enums.py                                                 37      4    89%
aegis_sdk/domain/events.py                                                90      3    97%
aegis_sdk/domain/exceptions.py                                            79      1    99%
aegis_sdk/domain/metrics_models.py                                        16      0   100%
aegis_sdk/domain/models.py                                               243      3    99%
aegis_sdk/domain/patterns.py                                              66      7    89%
aegis_sdk/domain/services.py                                             112      0   100%
aegis_sdk/domain/types.py                                                 13      0   100%
aegis_sdk/domain/value_objects.py                                        540     47    91%
aegis_sdk/infrastructure/__init__.py                                      11      0   100%
aegis_sdk/infrastructure/application_factories.py                         34      0   100%
aegis_sdk/infrastructure/basic_service_discovery.py                       76      0   100%
aegis_sdk/infrastructure/bootstrap.py                                      7      0   100%
aegis_sdk/infrastructure/cached_service_discovery.py                     124      3    98%
aegis_sdk/infrastructure/config.py                                        98      0   100%
aegis_sdk/infrastructure/election_coordinator.py                         157     15    90%
aegis_sdk/infrastructure/factories.py                                    109     30    72%
aegis_sdk/infrastructure/heartbeat_monitor.py                            128     15    88%
aegis_sdk/infrastructure/in_memory_metrics.py                             62      1    98%
aegis_sdk/infrastructure/in_memory_repository.py                          22      0   100%
aegis_sdk/infrastructure/kv_service_registry.py                          115      0   100%
aegis_sdk/infrastructure/nats_adapter.py                                 268    155    42%
aegis_sdk/infrastructure/nats_kv_election_repository.py                  150      0   100%
aegis_sdk/infrastructure/nats_kv_store.py                                329    147    55%
aegis_sdk/infrastructure/serialization.py                                 61      0   100%
aegis_sdk/infrastructure/simple_logger.py                                 22      0   100%
aegis_sdk/infrastructure/system_clock.py                                   5      0   100%
aegis_sdk/infrastructure/watchable_cached_service_discovery.py           100      0   100%
aegis_sdk/ports/__init__.py                                                8      0   100%
aegis_sdk/ports/clock.py                                                   5      0   100%
aegis_sdk/ports/election_repository.py                                    22      0   100%
aegis_sdk/ports/factory_ports.py                                          17      0   100%
aegis_sdk/ports/kv_store.py                                               37      0   100%
